# Yale Bright Star Catalogue 5 - converted by bsc5_converter.py
# RA_deg, Dec_deg, Vmag, BV
25.818750,45.322222,6.340,1.010
25.915000,50.688611,4.070,-0.040
25.535833,-32.326944,5.250,1.050
25.512500,-36.832500,5.720,-0.010
26.074583,57.536389,6.210,0.100
25.681250,-3.690278,4.990,1.380
25.421250,-50.038889,6.640,0.120
26.192083,57.089167,6.250,0.040
25.958333,32.191667,6.340,0.000
26.110417,46.139722,6.350,0.000
25.450000,-60.789444,5.710,1.270
25.622083,-53.740556,5.520,0.530
25.978333,-4.765556,6.190,1.540
26.232500,20.083056,6.270,0.750
26.017083,-15.937500,3.500,0.720
26.348333,9.157778,4.260,0.960
26.936667,63.852222,5.630,0.810
24.481667,-82.975000,5.870,0.610
26.497083,-5.733333,5.340,1.520
26.411667,-25.052500,5.310,0.390
26.647083,17.413056,6.550,0.250
25.338750,-79.148333,6.330,0.940
26.504167,-27.349167,6.390,0.360
26.950000,46.229722,6.320,0.430
26.524167,-50.816389,5.490,1.600
26.526250,-53.521944,5.040,0.040
27.162083,37.952778,5.940,0.970
27.045417,16.955556,5.840,-0.030
27.173333,32.690278,5.790,0.550
26.820000,-41.760000,6.180,1.540
24.366667,-84.769722,5.690,0.940
27.315417,47.896944,5.820,0.290
27.108333,3.685556,5.910,0.970
26.949167,-37.159722,6.320,1.020
27.737917,51.933333,5.900,0.430
27.535417,22.275278,5.860,0.740
27.396250,-10.686389,4.670,0.330
27.331250,-31.072778,6.340,1.220
27.997083,55.147500,5.520,-0.180
27.716667,11.043333,5.940,0.300
27.453333,-38.403889,6.370,0.520
28.039167,50.792778,5.790,-0.070
27.584167,-47.816389,6.140,1.010
28.211667,51.474722,6.260,0.000
27.865000,-10.335000,3.730,1.140
28.452083,55.598056,6.450,0.180
27.727083,-50.206111,5.940,0.140
28.598750,63.670000,3.380,-0.150
28.322083,40.729722,5.400,1.320
28.270417,29.578889,3.410,0.490
28.382500,19.295833,4.830,0.000
28.382500,19.293611,4.750,-0.040
28.217083,-16.929167,5.800,0.270
29.000000,68.685278,4.990,-0.100
28.388750,3.187500,4.620,0.940
26.943750,-80.176667,6.060,0.340
28.724167,40.701944,6.240,1.250
28.739583,37.128333,6.260,1.170
28.660000,20.808056,2.640,0.130
28.346667,-38.594722,6.100,1.120
28.411667,-46.302500,4.410,1.590
28.976667,37.277778,5.890,1.630
29.038750,37.251667,5.670,1.060
28.591667,-42.496944,5.110,-0.060
28.962500,23.577222,5.740,1.190
28.974167,1.849722,6.010,0.560
29.638750,61.698056,6.020,-0.040
29.485000,41.694444,6.780,-0.060
29.337917,17.817500,5.100,0.920
29.432500,27.804444,5.820,1.600
29.167500,-22.526944,4.850,1.420
28.989583,-51.608889,3.700,0.850
29.908333,64.621389,5.260,0.010
29.640000,49.204167,5.690,1.010
29.482083,23.596111,4.790,0.280
28.733750,-67.647222,4.690,0.950
28.943333,-60.861389,6.060,0.370
30.738333,77.916389,6.040,1.140
29.250417,-51.766111,6.100,0.480
29.291667,-47.385000,4.830,0.880
30.489167,70.906944,4.540,0.160
29.611250,-33.066667,6.350,1.020
29.898750,21.058333,5.870,1.030
29.857917,12.294722,6.090,0.190
30.793750,73.850556,6.230,0.000
30.858750,72.421389,3.980,-0.010
31.280833,77.281389,5.380,0.310
30.038333,3.097222,5.880,0.620
29.942083,-20.824444,5.410,1.650
29.473333,-65.424722,6.370,0.900
30.001250,-21.077778,4.000,1.570
30.719583,64.901389,6.000,0.030
30.112083,-8.523611,5.510,1.520
29.911667,-42.030556,5.570,1.060
30.751250,64.390000,5.580,0.380
30.575417,54.487500,5.040,-0.080
29.692500,-61.569722,2.860,0.280
31.380000,76.115000,5.220,0.950
28.960417,-78.348333,6.160,0.440
30.311250,-30.001667,5.350,0.880
30.511667,2.763611,5.230,0.000
30.511667,2.763611,4.330,0.030
32.355417,81.295833,6.050,0.110
31.167083,65.103333,6.520,0.000
30.741667,33.283889,5.500,0.030
29.921250,-66.066389,6.100,1.170
30.646667,13.476667,5.940,1.590
30.426667,-44.713611,5.140,1.490
30.975000,42.329722,2.260,1.370
30.977917,42.330833,4.840,0.030
30.913750,25.935556,5.630,0.540
30.617083,-29.665000,6.420,0.140
30.798750,0.128333,5.430,0.150
30.744167,-15.305833,5.860,0.980
30.927500,18.253333,6.210,1.420
30.950833,-0.340278,5.930,0.880
30.918750,-4.103611,5.620,1.590
31.122500,-29.296944,4.690,-0.170
31.641250,22.648333,5.030,0.110
31.551250,8.247500,6.310,1.650
31.705000,25.704722,6.150,-0.030
31.622083,0.035000,6.280,0.900
31.793333,23.462500,2.000,1.150
32.168750,58.423611,5.670,0.610
32.140000,44.459444,6.420,0.000
32.122083,37.859167,4.820,0.120
32.532500,53.843056,6.310,0.950
32.385833,34.987222,3.000,0.140
32.355417,25.939722,4.980,0.330
32.346250,17.224444,6.430,0.000
